# Clase8 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:24]  Un
[01:28:18 -> 01:28:20]  ¿Cuál es el valor de 2?
[01:28:20 -> 01:28:26]  Me da 2 porque es 1 más 3, y me da el valor de 2.
[01:28:26 -> 01:28:28]  ¿Ya?
[01:28:28 -> 01:28:33]  1 más 3 dividido 2.
[01:28:33 -> 01:28:37]  O sea, 1 medio más 3 medio. ¿Cuánto medio?
[01:28:37 -> 01:28:43]  1 medio por 1 más 1 medio.
[01:28:43 -> 01:28:50]  2, y lo que remontaría de valor la cuerda de ecuación es 2
[01:28:50 -> 01:28:54]  Ah claro, porque el 2 te queda arriba, te queda el oponente
[01:28:54 -> 01:29:06]  Pero sigue siendo un 2, lo puse en azul, pero sigue siendo la utilidad para la gente
[01:29:06 -> 01:29:10]  Entonces 12 mayor que 1
[01:29:10 -> 01:29:14]  ¿Qué le pasó a mi estrategia minimax?
[01:29:18 -> 01:29:24]  La predicción que yo tenía de mi estrategia minimax es que su valor era 1.
[01:29:27 -> 01:29:36]  Pero en realidad, cuando jugué esa estrategia contra un oponente random, tuve 2 utilidades.
[01:29:36 -> 01:29:41]  más de lo que pensé que iba a tener
[01:29:42 -> 01:29:45]  y por qué
[01:29:48 -> 01:29:54]  no no no estaría esto porque en realidad la estrategia mini max es la
[01:29:54 -> 01:30:01]  ver disponse a una gente que juega mini pero no es la ver disponse a una gente
[01:30:01 -> 01:30:10]  o no necesariamente la doy respons a una gente que juega random 0.5 0.5
[01:30:10 -> 01:30:18]  pero yo dije algo sin justificarlo es cuál es la doy respons en este ejemplo a
[01:30:18 -> 01:30:22]  una gente que juega 0.5 0.5
[01:30:22 -> 01:30:25]  ¿Por qué C?
[01:30:25 -> 01:30:35]  Porque acá tengo 1,5 y acá tengo 10,5
[01:30:35 -> 01:30:45]  y recorrer, acá también tengo 1,5 y acá tengo valor C.
[01:30:45 -> 01:30:59]  Entonces, si yo hago ahora este análisis, o sea, resuelvo esta ecuación, que no es la ecuación B max,
[01:30:59 -> 01:31:12]  como mi análisis, mi análisis ahora es, yo voy a siempre jugar max, pero voy a suponer que mi agente, o que el oponente juega, para que el oponente juega random.
[01:31:12 -> 01:31:23]  Pero Rand no ve esta distribución. Entonces bajo ese análisis, agente diría voy a jugar C.
[01:31:23 -> 01:31:35]  Porque C es la vera respons de tan mítica a un oponente que juega con esa distribución de probabilidad.
[01:31:35 -> 01:31:44]  Entonces, lo que esto introduce es que hay que tener cuidado con este análisis porque
[01:31:44 -> 01:31:53]  lo que estos análisis hacen es suponen algo sobre componente.
[01:31:53 -> 01:31:55]  Efectualmente podría tener un
[01:31:55 -> 01:31:57]  teclitismo indecalado...
[01:31:57 -> 01:31:59]  Pero ¿por qué?
[01:31:59 -> 01:32:01]  O sea, pero bueno...
[01:32:01 -> 01:32:03]  Lo que pasa es que...
[01:32:03 -> 01:32:05]  ahora... ¿por qué esto es así?
[01:32:05 -> 01:32:07]  ¿Por qué?
[01:32:07 -> 01:32:09]  En los juegos simultáneos
[01:32:09 -> 01:32:11]  que nosotros vimos...
[01:32:11 -> 01:32:13]  Ah, pues era simultáneo.
[01:32:13 -> 01:32:15]  No tenían que...
[01:32:15 -> 01:32:17]  simultáneamente...
[01:32:17 -> 01:32:19]  No tenían que...
[01:32:19 -> 01:32:21]  ...sigualmente...
[01:32:21 -> 01:32:23]  ...sigualmente...
[01:32:23 -> 01:32:27]  El dato de que se nos sabe lo que...
[01:32:27 -> 01:32:31]  No hay una...
[01:32:31 -> 01:32:35]  Tengo que suponer...
[01:32:35 -> 01:32:40]  Aunque el equilibrio de Nash dice, bueno, todos hacemos el mismo análisis
[01:32:40 -> 01:32:48]  y todos los jugadores converten a ese equilibrio.
[01:32:48 -> 01:33:00]  Acá, en el caso de los juegos de tecnología, en este tipo de análisis, hay que cambiar
[01:33:00 -> 01:33:11]  un poco la mirada y hay que pensar en que este análisis no se hace una vez para siempre.
[01:33:11 -> 01:33:18]  Este árbol podría ser gigante.
[01:33:18 -> 01:33:35]  Entonces se va a hacer más bien en un esquema de voy a planificar y después voy a jugar.
[01:33:35 -> 01:33:42]  Pero en esa planificación la hago de cabeza, o sea, la gente lo hace en papel o lo que sea,
[01:33:42 -> 01:33:51]  suponiendo que oponentes van a jugar, porque eventualmente van a jugar en algún momento cuando les toque el turno.
[01:33:51 -> 01:33:56]  Mientras tanto que ahora el turno me toca a mí, yo voy a hacer mi análisis,
[01:33:58 -> 01:34:02]  tengo que suponer que es lo que van a jugar los demás jugadores.
[01:34:02 -> 01:34:07]  Es lo que hacen, no sé si algún juego al pedreso o algún otro juego así de ese tipo,
[01:34:07 -> 01:34:09]  cuando juegan al truco, cuando juegan al poker,
[01:34:09 -> 01:34:12]  ustedes están siempre suponiendo que van a hacer los demás.
[01:34:16 -> 01:34:19]  Y si juegan a juego de azar, como por ejemplo el poker,
[01:34:19 -> 01:34:22]  no siempre los jugadores juegan de terminigio, ¿no?
[01:34:22 -> 01:34:26]  Pero vamos a ver, porque hay bluffing, ¿no?
[01:34:26 -> 01:34:29]  O sea, puede mentir, puede mentir.
[01:34:29 -> 01:34:38]  Yo hago el análisis y el jugador le puede interesar un tip para engañar y eventualmente hacerme abandonar
[01:34:38 -> 01:34:43]  cuando en realidad yo tenía un jugador mejor.
[01:34:43 -> 01:34:49]  Acá no hay gráfico porque todavía no, después porque esa actual información está ahí.
[01:34:49 -> 01:34:55]  No se puede confiar en todo el juego de información completa.
[01:34:55 -> 01:35:04]  Pero sí, el tema de que hay que jugar mentalmente, o sea, simular un montón de jugadas,
[01:35:04 -> 01:35:11]  esto lo que hay que hacer es jugar todas las jugadas posibles,
[01:35:11 -> 01:35:15]  o sea, tu árbol, eventualmente hasta el final,
[01:35:15 -> 01:35:20]  en el que se drense, se puede hacer, sentarse de ti y llevar algo bastante grande,
[01:35:20 -> 01:35:27]  y decidí entonces a partir de ese análisis, que voy a jugar acá.
[01:35:27 -> 01:35:32]  Pero para hacer esa análisis hay que suponer algo sobre lo que va a ser oponente.
[01:35:32 -> 01:35:39]  Pero ¿qué pasa? El oponente puede no jugar, de acuerdo a la hipótesis que uno hizo.
[01:35:39 -> 01:35:46]  Yo hice el análisis este, dije voy a jugar este, ve.
[01:35:46 -> 01:35:53]  Y resulta que este oponente no jugó ni jugó rango.
[01:35:53 -> 01:35:56]  Y ahí ya estaba, o sea, ya partí.
[01:35:56 -> 01:36:04]  No, acá lo partí y gané más de lo que estimé, pero podía ganar más.
[01:36:04 -> 01:36:09]  Pero no pasó nada, simplemente están las limitantes.
[01:36:09 -> 01:36:11]  Y ahí eso hay que tener en cuenta.
[01:36:11 -> 01:36:21]  Cuando lo van a probar, decir por qué está obteniendo más, por ejemplo, no está obteniendo todo lo que yo espero.
[01:36:21 -> 01:36:32]  Bueno, porque están haciendo hipótesis sobre cómo están jugando los otros jugadores y eso se eventualmente nos están siguiendo esa hipótesis.
[01:36:32 -> 01:36:41]  Acá es como una especie de agent modeling, pero no aprendido. Estoy suponiendo un modelo de OVOL.
[01:36:41 -> 01:36:45]  Sí, pero ahora tenías una pregunta.
[01:36:45 -> 01:36:52]  ¿Y acá cómo se dice? ¿Y el tipo de oponentes es jugando y viendo?
[01:36:52 -> 01:37:02]  El algoritmo más sencillo que vamos a empezar viendo, que es el algoritmo de minipax,
[01:37:02 -> 01:37:11]  excepto supone esa racionalidad termítica, siempre vamos a jugar Valverde y Montes,
[01:37:11 -> 01:37:17]  la altura, el oponente va a jugar min y la gente va a jugar max.
[01:37:17 -> 01:37:24]  Luego vamos a ver otros donde... yo llamo de public counterfactuals,
[01:37:24 -> 01:37:32]  así que aprendan bien de demization, porque ahí sí, un poco que se juegan los dos roles
[01:37:32 -> 01:37:37]  y se aprende más un equilibrio pero no exactamente el que más.
[01:37:37 -> 01:37:41]  Es todo eso.
[01:37:41 -> 01:37:50]  Pero bueno, para que sea lo determinético, tiene que haber algún tipo de determinismo en el juego, por ejemplo, cartas o algo.
[01:37:50 -> 01:38:00]  Pero bueno, a este es totalmente un nombre.
[01:38:00 -> 01:38:08]  Al análisis donde yo pongo max acá y min acá se llama el análisis minimax.
[01:38:08 -> 01:38:17]  A este análisis cuando yo uso max acá y esperanza acá se lo llama expected max.
[01:38:19 -> 01:38:24]  El max es por t max y el expected es por t esperanza.
[01:38:24 -> 01:38:29]  ExpectTmaps
[01:38:29 -> 01:38:34]  Entonces básicamente tenemos tipo 2
[01:38:34 -> 01:38:41]  En la dispositiva, en un caso, solo por el análisis
[01:38:41 -> 01:38:47]  En el cual el componente juega benévolo
[01:38:47 -> 01:38:51]  Y juega un machine chart
[01:38:51 -> 01:38:55]  Entonces va a jugar siempre 50.
[01:38:57 -> 01:38:59]  En este caso, vuelvo a jugar.
[01:39:01 -> 01:39:03]  ¿Qué es lo que debías decirle?
[01:39:04 -> 01:39:11]  En el anterior, en el video que debía, perdón, de grado, no?
[01:39:11 -> 01:39:12]  No de más.
[01:39:12 -> 01:39:13]  Ah, sí, sí.
[01:39:13 -> 01:39:18]  Que había que hacer para el juego 20-48.
[01:39:18 -> 01:39:20]  Ah, sí, en 20-48.
[01:39:21 -> 01:39:25]  Y ahí estaba definido el expect, digamos.
[01:39:25 -> 01:39:27]  O sea, como que...
[01:39:27 -> 01:39:34]  El oponente era la máquina de jugar un 2, el 80% del vídeo creo, y un 4, el 8% del vídeo.
[01:39:34 -> 01:39:38]  Eso, eso, acá.
[01:39:38 -> 01:39:45]  O sea, después de todo, ahora sí estoy compariando, porque así no tendré que...
[01:39:45 -> 01:39:47]  ¿Soy yo acá?
[01:39:47 -> 01:39:55]  Primero para la pregunta de hoy, ¿qué es lo que agrega si hay un nodo?
[01:39:55 -> 01:40:03]  Es tirar una moneda, o traer una carta, o lo que sea, y se agrega así como está...
[01:40:03 -> 01:40:10]  lo que sería Spectrum Minimax, que es oponente juega min, la gente juega max,
[01:40:10 -> 01:40:16]  y ese no es un chance, se llama jugar a su distribución de probabilidades,
[01:40:16 -> 01:40:23]  más de uno, puede haber el momento de poder sacar una carta, tirar un dado, etc.
[01:40:23 -> 01:40:33]  En lo que decía Agustín, la realidad, esta ecuación es si yo saco a un nuevo oponente,
[01:40:33 -> 01:40:39]  y ustedes lo hacen contra un ambiente, por ejemplo, un juego de 2048, que tiene ese.
[01:40:39 -> 01:40:45]  O sea, juegos de una gente, pero que hay también chance, porque ustedes hacen un movimiento,
[01:40:45 -> 01:40:51]  estado siguiente puede ser aleatorio porque pueden entrar monedas,
[01:40:51 -> 01:40:57]  hay un valor, si qué se yo, ahí la distribución de probabilidad,
[01:40:57 -> 01:41:00]  en el caso del azar, se supone crear conocida.
[01:41:00 -> 01:41:04]  O sea, el mecanismo de azar que se usa tiene una distribución conocida,
[01:41:04 -> 01:41:07]  a diferencia de lo monente que puede tener cualquiera.
[01:41:07 -> 01:41:12]  Por ejemplo, hemos puesto una moneda o...
[01:41:15 -> 01:41:23]  Y para terminar con esto, esto. Lo de las propiedades.
[01:41:23 -> 01:41:27]  Lo puedo ver acá para no escribirlo, pero eso ya lo vimos.
[01:41:27 -> 01:41:42]  ¿Cuál es la propiedad de la de Minimax?
[01:41:42 -> 01:41:48]  Es Minimax en la ver response a Minimax.
[01:41:48 -> 01:42:01]  Si oponente juega min, lo mejor que puedo hacer es eso, suponiendo que juega min, jugar max.
[01:42:01 -> 01:42:18]  sale llena de mínimas. Ahí es la best response de la gente oponente que juega a mí es jugar mínimas.
[01:42:18 -> 01:42:32]  Si a gente cambiara acá, acá cambió la de oponente. Si yo cambio la de la gente voy a obtener un valor menor.
[01:42:32 -> 01:42:40]  Si el otro juega, realmente, es el enemigo. Ah, esa es la manera de ponerlo.
[01:42:40 -> 01:42:48]  Y esto que está acá nos muestra esto.
[01:42:48 -> 01:42:56]  El tercer punto es que eventualmente si el oponente no juega a mi, juega a otra cosa,
[01:42:56 -> 01:43:03]  ¿existe alguna estrategia del oponente que tenga un valor mayor?
[01:43:03 -> 01:43:09]  ¿Esta? No, esa es la...
[01:43:09 -> 01:43:20]  Es eso, mi máximo es necesariamente la brand response a cualquier otra cosa, porque en este caso la brand response era jugar C.
[01:43:20 -> 01:43:30]  30.05.05, la verdad es que Pons no era jugar A, sino jugar C, que fue lo que vi.
[01:43:30 -> 01:43:37]  Ahí está, está jugando Mink. No está jugando Mink, por eso. Que fue lo que jugó acá.
[01:43:37 -> 01:43:40]  Jugó una distribución de probabilidad a la interna.
[01:43:40 -> 01:43:56]  Entonces, existe alguna distribución de probabilidades de oponentes en la cual, eventualmente, la gente tiene otra estrategia mejor que el minimax.
[01:43:56 -> 01:44:19]  Pero, por otro lado, Minimax es conservadora, es que es un piso, le da un piso de lo que
[01:44:19 -> 01:44:26]  que puede ganar a gente frente a cualquiera de los oponentes.
[01:44:26 -> 01:44:31]  Esto quiere decir que no le puede ir peor.
[01:44:33 -> 01:44:44]  Esto quiere decir que el valor de minimax contra min es menor o igual al valor de minimax contra otro oponente.
[01:44:44 -> 01:44:47]  Cualquiera sea.
[01:44:47 -> 01:45:00]  No puedo, o sea, no puede, por ejemplo, si yo juego minimax, no puedo ganar cero, no puedo ganar menos de uno.
[01:45:00 -> 01:45:06]  Ni ninguna estrategia del oponente va a tener un valor menor a uno.
[01:45:06 -> 01:45:09]  O sea, es un piso, es una cota inferior.
[01:45:09 -> 01:45:12]  Puedo ganar más, pero nunca ganar menos.
[01:45:12 -> 01:45:16]  ganar menos. Entonces, conservador.
[01:45:16 -> 01:45:18]  Pero en este juego...
[01:45:18 -> 01:45:20]  No, no, siempre.
[01:45:20 -> 01:45:22]  No, pero...
[01:45:22 -> 01:45:26]  ...venos ahí también.
[01:45:26 -> 01:45:38]  Sí, porque esto es jugar contra mí, es jugar contra la pura que te da el menor valor acá.
[01:45:38 -> 01:45:46]  Y si yo cambio la distribución, el valor va a aumentar, no va a disminuir.
[01:45:46 -> 01:45:54]  Porque el mínimo corresponde a la distribución 1, 0.
[01:45:54 -> 01:45:58]  Acá corresponde a la 1, 0.
[01:45:58 -> 01:46:03]  Si se empieza a mover la probabilidad para el otro lado, el valor va a aumentar.
[01:46:08 -> 01:46:13]  Entonces siempre te da algo observado.
[01:46:13 -> 01:46:18]  Porque como creí siempre, es el mejor peor caso.
[01:46:18 -> 01:46:24]  Exacto, es el mejor peor caso.
[01:46:24 -> 01:46:29]  Y no...
[01:46:29 -> 01:46:37]  Apínense que esto, aunque concubra a cualquier profundidad, siempre que suba un caso
[01:46:37 -> 01:46:42]  me voy a quedar con el mejor peor caso, el peor peor caso, el peor peor caso
[01:46:42 -> 01:46:45]  Peor que eso no me puede ir nunca
[01:46:47 -> 01:46:50]  Y así lo remonto hasta...
[01:46:50 -> 01:47:00]  Pero bueno, realmente es una estimación de mejor...
[01:47:00 -> 01:47:06]  El oponente no es un agente también, o sea,
[01:47:06 -> 01:47:11]  no habíamos... y creo que estaba en la definición de algo así que
[01:47:11 -> 01:47:16]  el agente también siempre entendía que era maximizar su valor, o algo así,
[01:47:16 -> 01:47:25]  unidad, si no tendría sentido el que juega tipo uniforme por ejemplo
[01:47:25 -> 01:47:31]  si el juego es de formación parcial
[01:47:31 -> 01:47:37]  y ahora pues pasa que no nos va a dar el tiempo, vamos a ir tranquilos
[01:47:37 -> 01:47:43]  vamos a hacer un caso, un análisis de un juego de poker sencillo con información
[01:47:43 -> 01:47:49]  tiene información parcial y minimax te da nada, básicamente el juego se mata siempre.
[01:47:49 -> 01:47:54]  En cambio si bloqueas, podés ganar.
[01:47:58 -> 01:48:10]  Y ese jugador y ese oponente que hace bluffing es, por si quieres, puede alcanzar una unidad mayor que el que no lo hace.
[01:48:13 -> 01:48:19]  Bueno, pero...
[01:48:19 -> 01:48:21]  Sí, es lo que yo me parecía, que...
[01:48:21 -> 01:48:26]  Voy a dar las dos horas para esto, vamos a dejar tiempo para...
[01:48:26 -> 01:48:33]  Pero eso, bueno, después lo seguimos viendo la clase que viene, porque hay tiempo...
[01:48:33 -> 01:48:39]  Para esto, así ya, porque...
[01:48:39 -> 01:48:42]  Tienen también un par de semanas para entregar lo obligatorio, ¿no?
[01:48:42 -> 01:48:45]  vamos a abrir la página de eso
[01:48:45 -> 01:48:48]  pero ahora ya vamos...
[01:48:48 -> 01:48:51]  ¿Me pierdes tampoco para el proceso ya?
[01:48:51 -> 01:48:56]  No, que viene en un par de semanitas más
[01:48:56 -> 01:48:59]  o tres semanas
[01:48:59 -> 01:49:03]  y bueno, si quieren entonces
[01:49:03 -> 01:49:07]  antes de que venga Martín
[01:49:07 -> 01:49:09]  para el practico
[01:49:09 -> 01:49:11]  Yo me entomío y me de marco.
[01:49:15 -> 01:49:19]  Si quieren les cuento un poco del trabajo final.
[01:49:21 -> 01:49:25]  Si, pero puedes esperar un minuto, porque yo también necesito de la vaina.
[01:49:25 -> 01:49:27]  Si, además quiero escuchar.
[01:49:27 -> 01:49:30]  No, luego de todo hay la pausa. Si quieren hacer una pausa, luego hay la pausa.
[01:49:31 -> 01:49:34]  Pero quédense a la...
[01:49:34 -> 01:49:41]  online que está... hablamos de esto.
[01:56:34 -> 01:56:47]  ...
[01:56:47 -> 01:56:49]  Acá volvemos.
[01:56:49 -> 01:56:57]  Entonces, me preguntarán si cuál es el tema de los trabajos finales.
[01:56:57 -> 01:57:04]  No te llene alguna pregunta concreta, alguna duda o quieres que les cuente todo.
[01:57:04 -> 01:57:06]  Hace cuenta, hace cuenta.
[01:57:06 -> 01:57:09]  No tengo ni las básicas de esto.
[01:57:09 -> 01:57:13]  Bueno, primero la formalidad.
[01:57:13 -> 01:57:21]  Para hacer el trabajo final tienen que tener seis justos aprobados.
[01:57:21 -> 01:57:24]  Creo que se adelanta a todas mis condiciones.
[01:57:24 -> 01:57:30]  pero digo eso porque capaz que no siguieron el recorrido habitual y cuando estaba haciendo
[01:57:30 -> 01:57:33]  un montón de gente pero deben haber una o otras.
[01:57:33 -> 01:57:37]  Pero bueno, seis, cualquiera.
[01:57:37 -> 01:57:42]  Están en esas condiciones pueden hacer el trabajo final.
[01:57:42 -> 01:57:47]  El trabajo final es en equipo, lo pueden hacer en equipo o lo pueden hacer solo,
[01:57:47 -> 01:57:51]  o sea, hasta tres. Uno, dos o tres.
[01:57:54 -> 01:58:01]  Ahora vengo al tema de la cantidad de personas.
[01:58:01 -> 01:58:11]  El proceso, si empiezan el semestre que viene,
[01:58:11 -> 01:58:14]  si lo hacen el semestre que viene, se desborda.
[01:58:14 -> 01:58:17]  O sea, en cualquier caso que lo hagan en marzo o arranque en agosto,
[01:58:17 -> 01:58:25]  se desborda al otro semestre aproximadamente hasta la mitad del semestre
[01:58:25 -> 01:58:37]  o sea es la idea que sea como una más o menos mantener seis meses de trabajo
[01:58:37 -> 01:58:47]  no que sea dentro de los seis meses todo porque hay un mes o algo así que se
[01:58:47 -> 01:59:00]  va en la definición del proyecto. La definición del proyecto es, se hace durante la materia de trabajo final.
[01:59:00 -> 01:59:08]  No sé si los que sean de que hayan hecho alguna carrera de grado en Ork o en la formula ingeniería acá,
[01:59:08 -> 01:59:15]  Tenemos una paróxena de mecánica, pero para los que no lo hayan hecho,
[01:59:15 -> 01:59:19]  ustedes tienen que inscribir a la materia,
[01:59:19 -> 01:59:29]  después generar el grupo, pero es como cuando se inscriben a un obligatorio,
[01:59:29 -> 01:59:34]  tienen que inscribirse individualmente, después se constituye el grupo,
[01:59:34 -> 01:59:44]  O sea, podrían, por ejemplo, tranquilamente inscribirse y definir el grupo durante ese proceso.
[01:59:44 -> 01:59:49]  Eso ha pasado, gente, que se le iba a hacer el distribuidor y que nada, está.
[01:59:49 -> 01:59:55]  Vamos a los juntos y ponemos un anteproyecto juntos que es el primer paso.
[01:59:55 -> 02:00:03]  Desde el momento de la inscripción, tiene aproximadamente un mes para presentar lo que se llama un anteproyecto.
[02:00:03 -> 02:00:17]  En un anteproyecto es una idea más o menos elaborada, pero realmente no resuelta de algún problema que quieran abordar.
[02:00:17 -> 02:00:22]  Dicho esto, esa es la formalidad del anteproyecto.
[02:00:22 -> 02:00:30]  La idea, o sea, lo mejor es que si empiezan a tener ideas, las puedan anotar.
[02:00:30 -> 02:00:38]  Ita anotando y eventualmente charlando con cualquiera de los docentes del cooperado.
[02:00:38 -> 02:00:41]  O sea, no necesariamente con ningún catedrático ni coordinador.
[02:00:41 -> 02:00:42]  Al mismo tiempo es un coordinador.
[02:00:42 -> 02:00:50]  Ustedes tienen un tema de deep learning, de qué se yo, y tuvieron buena onda con, no sé,
[02:00:50 -> 02:00:57]  con Joaquín, con Marcos, lo pueden pelotear con Guaydira dello, con Marías,
[02:00:57 -> 02:01:02]  y usar eso como cifra.
[02:01:02 -> 02:01:08]  Y después traer Rosilia, ese hilo con lo que hablábamos más específicamente,
[02:01:08 -> 02:01:12]  conmigo o con Marías.
[02:01:12 -> 02:01:15]  Y ahora sí, pregunta.
[02:01:15 -> 02:01:18]  No, no es que la que puede...
[02:01:18 -> 02:01:19]  Ah, ahí está bien...
[02:01:19 -> 02:01:21]  No, pero ya que bueno...
[02:01:21 -> 02:01:24]  Por ejemplo, ¿qué temas? ¿Cuáles eran?
[02:01:24 -> 02:01:26]  ¿Qué era el tema?
[02:01:26 -> 02:01:35]  En gran idea hay dos tipos, uno que podrían llamar más aplicados.
[02:01:35 -> 02:01:45]  En el que lo que buscan es aplicar técnicas que vieron
[02:01:45 -> 02:01:49]  pero a su vez también profundizar las técnicas que vieron
[02:01:49 -> 02:01:54]  y eventualmente algunas que no vieron pero que son aledañas
[02:01:54 -> 02:02:02]  por ejemplo, el de Syntensor, ReformerLearnLinia, dice un montón de algoritmos que no vieron
[02:02:02 -> 02:02:07]  capaz que les interesa ver y aplicar a un problema concreto.
[02:02:07 -> 02:02:14]  Un problema concreto que puede venir de, por ejemplo, de una empresa, si trabajas en una empresa o tienes
[02:02:14 -> 02:02:22]  este, montando o lo que sea, a la empresa o sea, me propuso tal tema,
[02:02:22 -> 02:02:29]  esa puede ser. En este, por ejemplo, concretamente en este semestre hay
[02:02:29 -> 02:02:34]  tres proyectos, así, tres o cuatro proyectos.
[02:02:34 -> 02:02:41]  De que es una empresa, no necesariamente la que trabaja los estudiantes,
[02:02:41 -> 02:02:50]  que propone un tema, ese tema que llega a los estudiantes,
[02:02:50 -> 02:02:54]  y los estudiantes lo ven con nosotros, y dijimos ok, está bien.
[02:02:54 -> 02:02:59]  ¿Qué condiciones tiene que tener esa hipotesis?
[02:02:59 -> 02:03:09]  O sea, para que haya algún tipo de innovación, pero no científica, no necesariamente.
[02:03:09 -> 02:03:11]  O sea, innovaciones...
[02:03:11 -> 02:03:16]  Bueno, por ejemplo, que haya un interesado, una empresa, por ejemplo, que tiene un problema concreto, que es el resolver,
[02:03:16 -> 02:03:28]  que no hay herramientas para hacerlo o son caras o quiere hacer un ensayo para ver si...
[02:03:28 -> 02:03:37]  una especie de prueba de concepto para ver si ir hacia ese lado la técnica, no sé,
[02:03:37 -> 02:03:45]  En realidad, tipo de técnica de deep learning es aplicable para eso.
[02:03:45 -> 02:03:47]  Imágenes.
[02:03:49 -> 02:03:58]  Eso sería un caso. Este semestre, sí, con lo que puedan ir algunas,
[02:03:58 -> 02:04:01]  le vamos a mandar la fecha de la defensa y eso.
[02:04:01 -> 02:04:14]  Hay una de imágenes, hay un par de... hay más de propuestas, porque hay un par de proyectos que vienen de UTE.
[02:04:14 -> 02:04:20]  Eso es gente que trabajó en UTE, o está en una obra vinculada...
[02:04:20 -> 02:04:26]  No, porque esos dos debutes son, contaba que son dos.
[02:04:26 -> 02:04:32]  Uno de imágenes que viene donde un debute es un alias de un cliente de la empresa que propone
[02:04:32 -> 02:04:36]  y otro de mismos que interrumpen.
[02:04:36 -> 02:04:38]  Por ejemplo.
[02:04:40 -> 02:04:45]  O sea, no es porque por si no hay un debute con el X que interese, sino que lo vemos,
[02:04:45 -> 02:04:57]  que hay suficiente grado de complejidad para que sea una tesis y no sea agarrar y copiar una solución que anda rodillando vueltas.
[02:04:57 -> 02:05:10]  Ha habido... ah, después hay una chica que hace también sobre aplicación de reinforcement learning de su empresa
[02:05:10 -> 02:05:26]  Hay un problema de control de dispositivos, hay otro tipo de dispositivos, hay otra detección de fraude, suma y dos detección de fraude.
[02:05:26 -> 02:05:35]  En el pasado ha habido tesis similares propuestas por bancos o por...
[02:05:35 -> 02:05:44]  Ese sería un tipo. O sea, hablo de una empresa, la verdad es que son ustedes mismos, no?
[02:05:44 -> 02:05:54]  porque tienen un interés particular.
[02:05:54 -> 02:06:05]  Y las otras son un poco más de investigación, no necesariamente donde el problema es...
[02:06:05 -> 02:06:11]  resolver un problema concreto, ¿no?
[02:06:11 -> 02:06:15]  Este...
[02:06:15 -> 02:06:19]  hacer una detección de fraude en...
[02:06:19 -> 02:06:25]  o por ejemplo, si, detección de anualías en redes.
[02:06:25 -> 02:06:28]  En redes de datos.
[02:06:28 -> 02:06:32]  A nivel, no sé, de SP o...
[02:06:32 -> 02:06:40]  sino que el objetivo sea más bien explorar unas técnicas que les interesaron
[02:06:40 -> 02:06:44]  pero que no vieron y ven que ha habido un desarrollo.
[02:06:44 -> 02:06:52]  También motivado por alguna aplicación.
[02:06:52 -> 02:07:01]  Por ejemplo, pero digamos que la innovación no va a venir más que nada,
[02:07:01 -> 02:07:07]  o sea, el driver no es la aplicación propia, he dicho, sino por ejemplo comparar técnicas.
[02:07:07 -> 02:07:15]  Vieron un algoritmo y hay dos o tres más en la vuelta que supuestamente son optimizaciones,
[02:07:15 -> 02:07:23]  entonces, bueno, agarran un dataset y hacen una evaluación de eso.
[02:07:27 -> 02:07:29]  Esto lo tenemos hecho.
[02:07:29 -> 02:07:32]  O sea, tiene un componente más de investigación.
[02:07:32 -> 02:07:36]  O sea, el tratamiento de todo el arte y...
[02:07:37 -> 02:07:42]  Más en ese sentido, o sea, es más en eso, bueno,
[02:07:42 -> 02:08:04]  A Ari y Juan ya trabajaron en un asistente basado en agentes de modelo de lenguaje para detectar y validar invariantes de programas.
[02:08:04 -> 02:08:07]  Si saben lo que es invariante de programas.
[02:08:07 -> 02:08:09]  Yo no.
[02:08:09 -> 02:08:13]  No importa lo que son, no importa.
[02:08:13 -> 02:08:28]  Por ejemplo, tiene como vente de implementación, como vente de investigación, como programas LLM.
[02:08:28 -> 02:08:40]  Después hubo otros temas, por ejemplo, otras tesis más centradas en privacidad de datos,
[02:08:40 -> 02:08:48]  eso más en la parte de Big Data. Pero entra perfectamente en la parte mundial.
[02:08:48 -> 02:08:55]  Pero un poco esa dos. Lo que vamos a medir ahí es también el grado de complejidad,
[02:08:55 -> 02:08:59]  que no sean ni demasiado grandes ni demasiado chicos.
[02:08:59 -> 02:09:03]  Por ahí, para una persona vamos a decir, no, esto es mucho,
[02:09:03 -> 02:09:07]  pero para tres, capaz que está bien, la misma de esas.
[02:09:07 -> 02:09:11]  Pero capaz que para tres, también, demasiado.
[02:09:19 -> 02:09:23]  Obviamente no estamos excedo de la IE de GULFY,
[02:09:23 -> 02:09:25]  Si puede fallar o va a fallar.
[02:09:26 -> 02:09:31]  Pero bueno, lo ideal para mí es tratar de minimizar las...
[02:09:32 -> 02:09:34]  O sea, ¿qué cosas fallan?
[02:09:35 -> 02:09:37]  Habitualmente
[02:09:37 -> 02:09:45]  si la tesis viene de una empresa o de un tercero, suele casi con probabilidad 1, es los datos.
[02:09:46 -> 02:09:50]  Por más que la empresa cubre, no sé qué, que estén,
[02:09:50 -> 02:09:57]  Ya nos ha pasado incluso este semestre también y se ponemos que cada vez.
[02:09:57 -> 02:10:07]  Entonces lo que sugerimos en ese caso es que, por casualidad,
[02:10:07 -> 02:10:17]  los datos que se prometieron nunca llegan, tener un plan B ya desde el día 1,
