# Clase3 - sistemas_multiagente (con timestamps)

[00:00:00 -> 00:00:18]  Bien, tomo la renovación.
[01:10:17 -> 01:10:22]  Bueno, no hay utilidad. Esto es importante.
[01:10:25 -> 01:10:29]  Entonces, es muy sencillo.
[01:10:29 -> 01:10:35]  Lo que hace cada agente que... el I dice P acá, es el agente de cuestión.
[01:10:38 -> 01:10:41]  Q son todos los demos.
[01:10:41 -> 01:10:55]  Acá uno de los compas, lo que hace agente P, es, tiene un contador, cuenta, cuenta cuántas veces el agente
[01:10:57 -> 01:11:00]  Q jugó la acción A.
[01:11:00 -> 01:11:11]  Por ejemplo, el caso de Alicia y Bruno, Alicia cuenta cuántas veces Bruno jugó C y cuántas veces jugó P.
[01:11:11 -> 01:11:15]  Y Bruno cuenta cuántas veces Alicia jugó C y cuántas veces Bruno.
[01:11:15 -> 01:11:27]  El tema es el inicio.
[01:11:27 -> 01:11:34]  Típicamente, si afuera arranca algo, arrancamos con un valor arbitrario.
[01:11:34 -> 01:11:47]  Y es interesante que se admiten, es como cuando se inicializan las mismas imágenes,
[01:11:47 -> 01:11:50]  para inicializarlas de manera arbitraria.
[01:11:50 -> 01:11:56]  Por acá lo mayor es iniciales son arbitrarios.
[01:11:56 -> 01:11:58]  Y después se simplemente suman.
[01:11:58 -> 01:12:15]  Si en el instante T más 1 la gente jugó a Q, entonces aumenta la cantidad de veces el jugador jugó la acción a Q.
[01:12:17 -> 01:12:24]  ¿Y qué hago después con esos fundadores? Bueno, estimo una intervención de otra cualidad.
[01:12:24 -> 01:12:32]  Si Alicia jugó tres veces C y cinco veces P,
[01:12:32 -> 01:12:39]  estimamos que está jugando la distribución de probabilidades tres octavos, cinco octavos.
[01:12:39 -> 01:12:46]  Esa es mi estimación de la distribución de la diferencia.
[01:12:46 -> 01:12:51]  Esa se mueve en el tiempo.
[01:12:51 -> 01:13:00]  Esa es la apreciación, la estimación que está haciendo Bruno,
[01:13:00 -> 01:13:05]  por otro lado, sí, en esas ocho jugadas.
[01:13:05 -> 01:13:11]  En realidad todos después pueden haber arrancado de valores iniciales a Re-Train,
[01:13:11 -> 01:13:13]  de 2008, pero bueno, podemos hacer...
[01:13:17 -> 01:13:23]  Si Bruno jugó siete veces cine y dos veces partido, bueno,
[01:13:23 -> 01:13:28]  entonces Alicia y Máquez, que manedín como siete nuevos,
[01:13:28 -> 01:13:33]  pero pueden inicializar sus contigos anualmente,
[01:13:33 -> 01:13:40]  siete novenos fue a cine y dos novenos fue a partido,
[01:13:40 -> 01:13:45]  de la disminución de probabilidad estimada del cargador.
[01:13:45 -> 01:13:48]  Y bueno, ¿qué es lo que hacen?
[01:13:50 -> 01:14:06]  Bueno, y lo que hacen es, bueno, es como eligen la próxima acción.
[01:14:06 -> 01:14:10]  Y bueno, elito y la próxima acción siguiendo el principio de racionalidad.
[01:14:10 -> 01:14:14]  Lo que tiene que hacer cada uno es seleccionar la
[01:14:14 -> 01:14:16]  black response a lo que está jugando y lo mismo.
[01:14:16 -> 01:14:23]  Entonces, para calcular la black response, le aplico simplemente básicamente lo que hicimos
[01:14:23 -> 01:14:24]  al principio.
[01:14:24 -> 01:14:30]  Por eso, sobre ese casillo, en el testande, porque hace exactamente lo que hicimos en
[01:14:30 -> 01:14:58]  lo que hace por ejemplo Alicia, un amo que observó que Bruno estaba jugando 20% de las
[01:14:58 -> 01:15:13]  A veces 0,2 sine y 0,8 partido, entonces
[01:15:13 -> 01:15:18]  Elige a mirar acá, a este era...
[01:15:18 -> 01:15:27]  Mirar acá y dice, bueno, mi utilidad de cine es esta, mi utilidad de partido es esta.
[01:15:27 -> 01:15:39]  Entonces, la verdad es que la utilidad del partido es esta.
[01:15:39 -> 01:15:45]  Z a la partida o Z a la p es X, no?
[01:15:45 -> 01:15:47]  ¿Tú también?
[01:15:47 -> 01:15:49]  ¿Pues la p es la X?
[01:15:49 -> 01:15:52]  Sí, la p de X es la p de X.
[01:15:52 -> 01:15:54]  La p de X es la p de X.
[01:15:54 -> 01:15:56]  ¿Tú también?
[01:15:56 -> 01:15:58]  Sí, es fácil.
[01:15:58 -> 01:16:02]  Se hace esta cuenta con X, con pi,
[01:16:02 -> 01:16:04]  y se ve cuando lo vemos.
[01:16:04 -> 01:16:06]  A ver.
[01:16:06 -> 01:16:08]  Simple.
[01:16:08 -> 01:16:13]  y Alicia es exactamente lo mismo, vamos a ver que ve que
[01:16:13 -> 01:16:19]  Pruno está jugando 0-4-0-6
[01:16:19 -> 01:16:25]  se viene acá y dice, bueno, ¿cuál era la respuesta a esto?
[01:16:29 -> 01:16:32]  La que tiene la mayor utilidad es esta
[01:16:38 -> 01:16:42]  Bueno, calcula...
[01:16:50 -> 01:16:57]  ...lo vemos porque se van a ver mejor que lo piensen, es un código muy fácil.
[01:16:57 -> 01:17:10]  Entonces, directamente van y dicen, bueno, elijo la red response a mi estimación de la distribución de probabilidad que están jugando los otros maneras.
[01:17:10 -> 01:17:16]  Pues todos hacen eso, eliten una acción y pues, y así se repite.
[01:17:16 -> 01:17:24]  Claro, no es nada más que eso, no es nada más que equivalente a contar cartas.
[01:17:24 -> 01:17:41]  Y bueno, si el juego agrega unas propiedades de que se convergente, ya que lo pueden ver,
[01:17:41 -> 01:17:47]  no necesariamente converge, como también le pasa a nosotros, vamos a cuidarnos, vamos
[01:17:47 -> 01:17:50]  y no quisimos tocar, este tipo de cosas.
[01:17:53 -> 01:17:56]  Hay juegos con los cuales no convergen,
[01:17:56 -> 01:18:02]  esos que se tienen ya con C o ya enseguida con 3KBlocks para eso.
[01:18:02 -> 01:18:06]  Ese es un ejemplo de piedra probabilitijera,
[01:18:06 -> 01:18:09]  cambiada con, ya que sería piedra probabilitijera como marco de juego,
[01:18:09 -> 01:18:14]  pero con utilidades cambiadas, eso va a ser un ejemplo de la monberna.
[01:18:17 -> 01:18:33]  Y bueno, otra cosa interesante que yo lo llevo sobre todo para que cuando lo implementen prueben y vean
[01:18:33 -> 01:18:40]  a ver cuando con vea, que es que lo que pasa, y cosas como esta son más difíciles de ver que...
[01:18:40 -> 01:18:45]  ¿Tienes alguna idea?
[01:18:45 -> 01:18:54]  ¿Durante el aprendizaje, los que están jugando a esa política, el programa no está llegando?
[01:18:54 -> 01:19:00]  El resultado final es la estación de avión.
[01:19:00 -> 01:19:12]  Pero durante todo el trayecto no están jugando.
[01:19:12 -> 01:19:17]  Y además siempre están jugando ver disponses de termística.
[01:19:17 -> 01:19:32]  Entonces pueden observar que es interesante si me encuentro los pasos es que los avientes pueden tener las situaciones a ser sencillos.
[01:19:32 -> 01:19:41]  Por ejemplo, en matching pace se puede ver que puede haber raza a base.
[01:19:41 -> 01:19:47]  No, no es así, pues juegan siempre C, CuecTale, CuecHead, CuecTale, y se van a hacer.
[01:19:47 -> 01:19:56]  Globalmente, en mi acuerdo pueden ser medio a medio.
[01:19:56 -> 01:20:01]  pero cuando ustedes lo ven es bastante...
[01:20:01 -> 01:20:08]  durante un drama, por agrajos, y así, comportamientos de ese tipo.
[01:20:08 -> 01:20:20]  Durante el juego, se puede hacer la política al final, que ya creíste, es un medio inventado.
[01:20:20 -> 01:20:25]  Esas son todas las cosas que pueden aparecer acá
[01:20:25 -> 01:20:32]  comparado con otras cosas que estaban en el mundo a ver por ejemplo cuando
[01:20:34 -> 01:20:41]  hacían un círculo y querían ver si se estaba aprendiendo, lo que estaba aprendiendo y lo demás
[01:20:41 -> 01:20:45]  y se daban un tipo de figuras
[01:20:45 -> 01:20:49]  Ahora bueno, esto puede haber de espote, así que están avanzados
[01:20:49 -> 01:20:57]  Por ejemplo, si está convarquiendo, si está haciendo alguna política psíquica.
[01:20:57 -> 01:21:04]  Bien, pero entonces, para no hacerlos más largos, si tienen tiempo de hablar,
[01:21:04 -> 01:21:17]  Y ahora les vamos a dar rápido un cómo les debería quedar.
[01:21:17 -> 01:21:21]  Les vamos a mostrar el código.
[01:22:21 -> 01:22:26]  ¿Cuál sería el día de la sesión que te hiciste?
[01:22:26 -> 01:22:28]  ¿Qué es un play?
[01:22:28 -> 01:22:29]  ¿Cuál?
[01:22:29 -> 01:22:31]  Sí, fictitious play.
[01:22:31 -> 01:22:37]  ¿Pero es sobre el día o el que salgo de cero?
[01:22:40 -> 01:22:42]  Ahora reponte.
[01:23:21 -> 01:23:40]  Ahí se ve.
[01:23:40 -> 01:23:42]  No, ya está.
[01:23:42 -> 01:23:44]  Ya está.
[01:23:46 -> 01:23:58]  Lo que está en online sigue lo que estoy compartiendo, ¿no?
[01:23:58 -> 01:24:00]  Sí, sir.
[01:24:00 -> 01:24:02]  Ok.
[01:24:02 -> 01:24:04]  Ahora sí, la cita que agarra el juego.
[01:24:04 -> 01:24:06]  Como que sí.
[01:24:06 -> 01:24:08]  Ahí más.
[01:24:08 -> 01:24:10]  más.
[01:24:16 -> 01:24:23]  Sí, es... no, así le muestro algunas cosas. Es esencialmente la misma.
[01:24:24 -> 01:24:28]  O sea, ustedes van a tener algo...
[01:24:30 -> 01:24:35]  Sí, pero ustedes van a tener algo vacío.
[01:24:35 -> 01:24:40]  Usted va a tener algo así, que te dice tu DUS y...
[01:24:40 -> 01:24:45]  Este es el que hay que implementar.
[01:24:45 -> 01:24:48]  Pero si le muestro un poco...
[01:24:48 -> 01:24:50]  ¿Quién lo llevaba a ese?
[01:24:50 -> 01:24:53]  Bueno, ahora les muestro el...
[01:24:53 -> 01:24:57]  Le llevo por top down.
[01:24:57 -> 01:25:02]  Por eso les quiero mostrar la...
[01:25:02 -> 01:25:06]  la notebook Stichus Play, no sé si la tienen ahí.
[01:25:06 -> 01:25:12]  Es igual, creo que hay otra que se llama imbp.imbp.
[01:25:12 -> 01:25:18]  Bueno, esa imbp ya pensaba para que puedan comparar todos los algoritmos.
[01:25:18 -> 01:25:27]  Pero esto simplemente es una proyección solamente sobre el algoritmo Stichus Play.
[01:25:27 -> 01:25:35]  Entonces, la tiene que elegir el ambiente apropiado.
[01:25:35 -> 01:25:46]  Pero ustedes no van a tener esto, creo que Martín se los explicó con V.
[01:25:46 -> 01:25:50]  Acá todavía no lo tengo actualizado para V, tengo en Wanda, pero es lo mismo.
[01:25:50 -> 01:25:56]  Acá van a tener que usar el ambiente event que está instalado acá.
[01:25:57 -> 01:26:07]  Esa es la diferencia entre usar cosas que sean apretadoras como V y Poetry contra Conda.
[01:26:07 -> 01:26:11]  Lo puedes instalar local, van a ver acá, .ben y siempre se va a llamar igual.
[01:26:11 -> 01:26:16]  Y acá van a tener todo.
[01:26:16 -> 01:26:22]  Todas las dependencias están en un archivo que se llama byproject.com
[01:26:22 -> 01:26:26]  Acá lo tengo todavía con la...
[01:26:26 -> 01:26:31]  No, yo tengo un condom, pero ustedes lo van a tener con Ben y bueno.
[01:26:34 -> 01:26:36]  Vamos a hacer...
[01:26:40 -> 01:26:42]  Entonces, bueno...
[01:26:43 -> 01:26:46]  Nada, importa el juego, TeacherPlay.
[01:26:46 -> 01:26:50]  Acá no me importa, no hay mucho que se usa.
[01:26:52 -> 01:27:07]  Es igual que lo que hacían con Gimg Nation, que vean un ambiente y lo recitean.
[01:27:07 -> 01:27:19]  Acá hay este tipo de cosas que no hacen más recarga de nada, porque es un poco de una sola jugada, no tiene memoria, pero eso es por eso, para hacer más cosas.
[01:27:19 -> 01:27:25]  Y bueno, y después crean los agentes.
[01:27:25 -> 01:27:29]  Se nota algo como este tipo de cosas funcionales.
[01:27:29 -> 01:27:35]  Esto es lo mismo que hacer un for, que crea los agentes.
[01:27:35 -> 01:27:40]  De hecho crea un diccionario con los agentes, tipo Fictitious Play.
[01:27:40 -> 01:28:07]  En un diccionario, cuyas keys son el resultado de mapear, sino en un
[01:28:07 -> 01:28:11]  y el ambiente es a través del nombre.
[01:28:13 -> 01:28:17]  O sea, no voy a decir que es solo el nombre, acá los agentes ponen parte del ambiente,
[01:28:17 -> 01:28:23]  pero en realidad es la parte estática de la gente, ¿no?
[01:28:23 -> 01:28:28]  La gente que hace el mensaje y que juega.
[01:28:28 -> 01:28:31]  Pero el binding está hecho a través del nombre.
[01:28:31 -> 01:28:34]  Son dos agentes porque en el B tiene dos agentes.
[01:28:34 -> 01:28:36]  Claro, claro, porque es un juego de dos por dos.
[01:28:37 -> 01:28:44]  Entonces yo puedo poner, por ejemplo, G.toAgents
[01:28:50 -> 01:28:52]  Se llaman Agent 0 y Agent 1
[01:28:56 -> 01:29:00]  Y después a veces los agentes también tienen índices
[01:29:00 -> 01:29:03]  que la gente, o sea, que no tenes el nombre coincidimos en el nombre,
[01:29:03 -> 01:29:07]  porque la gente 0 es el índice 0 y la gente 1 es el índice 1.
[01:29:09 -> 01:29:11]  Este...
[01:29:11 -> 01:29:18]  En estos juegos que son simultáneos, los que son alternados,
[01:29:18 -> 01:29:20]  los juegos de los índices pueden ser los mismos.
[01:29:20 -> 01:29:25]  Tienen una función que les pasa el índice a...
[01:29:55 -> 01:30:12]  Me dicen cero. Me dicen que es un agente TQP. O sea, eso es un diccionario de agentes. Eso
[01:30:12 -> 01:30:15]  que se agentan.
[01:30:16 -> 01:30:19]  Y los agentes tienen un nombre.
[01:30:19 -> 01:30:22]  Tienen otro nombre, ¿saben?
[01:30:26 -> 01:30:27]  ¿Saben?
[01:30:27 -> 01:30:32]  O sea, el agente cero donde le he dicho algo es el agente cero en el cuerpo.
[01:30:34 -> 01:30:39]  Entonces yo para saber que este agente corresponde al agente cero en el cuerpo.
[01:30:42 -> 01:30:51]  Action no está implementada porque está. Y acá ven lo que tiene.
[01:30:51 -> 01:30:55]  Por ejemplo, aquí lo que hay es post, etc. Este es el agente porque es pitch-play.
[01:30:55 -> 01:31:01]  Y tiene otra cosa que es policy que es también la que tiene que implementar.
[01:31:01 -> 01:31:04]  Pero bueno.
[01:31:04 -> 01:31:23]  y acá está como se llama, o sea, cada gente elige una acción, eso es lo que hace cada
[01:31:23 -> 01:31:29]  gente, elige una acción propia, y después esto que está acá lo que hace es arma un
[01:31:29 -> 01:31:34]  un diccionario donde le dice a aquel que tiene que pasar el juego, le va a hacer el diccionario
[01:31:34 -> 01:31:37]  con la acción que juega cada fe.
[01:31:59 -> 01:32:09]  Agente 0 jugó la acción 1 y agente 1 jugó la acción 1
[01:32:09 -> 01:32:15]  Si van al ambiente le va a decir cuál es la acción 1 y cuál es la acción 0
[01:32:15 -> 01:32:23]  El ambiente en el caso es un Indaxium, así que tiene un Action Space, tiene un Observation Space y todo eso
[01:32:23 -> 01:32:25]  que si quieren lo pueden ir a ver
[01:32:25 -> 01:32:32]  Ahora les digo cómo observa los agentes de esas.
[01:32:42 -> 01:32:46]  Creo que está bien que no me ande eso.
[01:32:46 -> 01:32:51]  Y no te andas, porque no tenéis implementado el agente de ppSupply.
[01:32:51 -> 01:32:54]  Si ponéis random te va a andar.
[01:32:55 -> 01:33:01]  En lugar de poner el chistillo, ponés Random Agents
[01:33:01 -> 01:33:03]  Este va a ver para adelante
[01:33:05 -> 01:33:07]  Gracias
[01:33:10 -> 01:33:15]  Bueno acá, jugaron, no sé cuántas interacciones, mil
[01:33:15 -> 01:33:23]  Básicamente es cada agente, acá jugó la acción
[01:33:23 -> 01:33:29]  Acá para entenderla se acuerdan cuatro esternados. En realidad, puede ser que la gente recibe el ambiente,
[01:33:29 -> 01:33:34]  el ambiente también recibe la gente, pero la gente recibe el ambiente,
[01:33:34 -> 01:33:41]  entonces toda la observación y la elección y todo lo demás está oculto acá en la función Action.
[01:33:44 -> 01:33:49]  Y al final, el ficticio es Play Agent.
[01:33:49 -> 01:33:54]  Al más de jugar aprendí una polish que está en los llamas polish
[01:33:54 -> 01:33:58]  Y bueno, queremos ver que es lo que aprendió
[01:33:58 -> 01:34:00]  Aprendió...
[01:34:02 -> 01:34:08]  Que realmente se acercó a 0.5
[01:34:13 -> 01:34:15]  Podemos ver...
[01:34:19 -> 01:34:39]  Les vamos a dar algunos ejemplos, por ejemplo, acá está el ambiente, el ambiente MP, es simplemente un barco de juego para un juego de 2x2.
[01:34:39 -> 01:34:45]  Bueno, ahí creo que está, sí, de 2, de 2 por n, está la puntada de h y t, no importa.
[01:34:45 -> 01:34:47]  Sí, es de 2 por 12.
[01:34:47 -> 01:34:51]  Pero le pueden cambiar las recompensas.
[01:34:51 -> 01:34:55]  Por ejemplo, si yo le pongo 2 menos 3 menos 3, 4,
[01:34:55 -> 01:34:59]  es el del ejemplo del final de la clase pasada.
[01:35:02 -> 01:35:05]  Vamos a sacar este print y es nada más que 1.
[01:35:35 -> 01:35:42]  Creo que sí, cercano 0.6, 0.4 debía ser la distinción colorida, no sé más o menos cuánto era
[01:35:42 -> 01:35:51]  Simplemente si quieren usar otros juegos de prueba, 2x2, ahora cambian esa recompensa y ya está
[01:35:51 -> 01:35:57]  Estos son dos juegos que se pueden resolver a mano, entonces pueden ver a mano cuando le dais
[01:35:57 -> 01:36:03]  ver si está andando bien en los juegos de 2x2, ya eso es, es fatal
[01:36:03 -> 01:36:05]  ¿Qué tal?
[01:36:05 -> 01:36:07]  ¿Qué tal?
[01:36:07 -> 01:36:09]  ¿Qué tal?
[01:36:09 -> 01:36:11]  ¿Qué tal?
[01:36:11 -> 01:36:13]  Bueno, si quieres, me haré otra cosa a ver, ¿ahora?
[01:36:13 -> 01:36:15]  Eso para ver si no es...
[01:36:15 -> 01:36:17]  o...
[01:36:17 -> 01:36:19]  No, se nos...
[01:36:19 -> 01:36:21]  para que vean lo que me había...
[01:36:21 -> 01:36:23]  No, el Gameplay, de...
[01:36:23 -> 01:36:25]  de GXPlay.
[01:36:25 -> 01:36:27]  No, vamos a verlo también.
[01:36:27 -> 01:36:29]  Vamos a verlo, mostramos, pues,
[01:36:29 -> 01:36:31]  igual.
[01:36:31 -> 01:36:38]  Tiene que hacer la inicialización aleatoria del count, o sea, lo que tiene el agente de
[01:36:38 -> 01:36:44]  este usted es un count, para contar, que en realidad es un diccionario.
[01:36:44 -> 01:36:52]  Para cada otro agente tiene un contador.
[01:37:22 -> 01:37:29]  específico que hay, hay inicializaciones conocidas que se inician para dentro y luego
[01:37:29 -> 01:37:34]  pierden la presencia si quieren inicializar con algo, en lugar de tener algo más.
[01:37:34 -> 01:37:40]  Y después tienen algo acá que es la LARUPOLES.
[01:37:40 -> 01:37:47]  En realidad la... o sea, ¿por qué esto es un en día REI?
[01:37:47 -> 01:37:54]  porque está contando para cada agente para cada una de las acciones de ese agente.
[01:37:54 -> 01:38:01]  En este caso para cada agente tiene un vector de dimensión 2 de campus,
[01:38:01 -> 01:38:09]  pero esto genérico puede ser para juego de la cantidad de agentes y la cantidad de acciones que tiene.
[01:38:09 -> 01:38:13]  Y la jugabilidad sigue lo mismo, esto es lo que está aprendiendo de lo que juega el otro.
[01:38:17 -> 01:38:26]  Y su policy es la policy de ser un coche.
[01:38:26 -> 01:38:31]  Por eso también hay que inventar las uñas.
[01:38:31 -> 01:38:38]  Para ver cuál es la que aprendí.
[01:38:38 -> 01:38:49]  Después, ¿cómo obtienen los rewards? Acuérdense que no tiene, o sea que solamente
[01:38:49 -> 01:38:54]  ve los usos propios y para obtener los rewards en realidad, bueno acá está la parte,
[01:38:54 -> 01:39:15]  Es un poco complicado, pero los rewards es donde está el model del ambiente.
[01:39:15 -> 01:39:17]  ¿No puedo pulsar acá?
[01:39:17 -> 01:39:34]  Base Game, si van a Base Game les da lo que el ambiente les expone, esto ya rata todo,
[01:39:34 -> 01:39:37]  de faramas, un narzo y todo eso
[01:39:37 -> 01:39:42]  sobre todo si quieren ver lo que observa es esto
[01:39:42 -> 01:39:43]  observe
[01:39:43 -> 01:39:45]  les da lo que observa
[01:39:45 -> 01:39:48]  y reward
[01:39:48 -> 01:39:51]  les da la recompensa
[01:39:51 -> 01:39:53]  suya, propia
[01:39:53 -> 01:39:57]  la realidad es que a la leche le puede pasar cualquier ejemplo
[01:39:57 -> 01:40:00]  lo que tiene que hacer la gente es pasar su propio nombre
[01:40:00 -> 01:40:03]  depende que el ha agarrado y que tenga cuidado porque bueno
[01:40:03 -> 01:40:07]  La API no necesariamente controla ser genérica.
[01:40:07 -> 01:40:11]  El algoritmo dice que cada gente solo ve sus propias recompensas,
[01:40:11 -> 01:40:17]  entonces solo puedo llamar rewards de mí mismo.
[01:40:19 -> 01:40:21]  ¿Y qué más?
[01:40:25 -> 01:40:30]  ¿Para qué? ¿Para que se vea? Yo no veo acá.
[01:40:33 -> 01:40:38]  No es una versión, no es una versión.
[01:40:38 -> 01:40:42]  Ah, pero...
[01:40:47 -> 01:40:53]  Básicamente lo de la utilidad es para calcular la veredicación.
[01:40:53 -> 01:40:59]  La utilidad es, a partir de los rewards,
[01:40:59 -> 01:41:03]  Los rewards, acá le llamamos solamente a lo que aparece en la máquina.
[01:41:03 -> 01:41:10]  Y la utilidad es la esperanza de los recompensos, o sea la multiplicación de los rewards por la distribución de probabilidades.
[01:41:10 -> 01:41:14]  ¿Ves? Eso es lo que es la utilidad.
[01:41:14 -> 01:41:19]  Entonces, es calcular la utilidad. Para poder calcular la ver respons.
[01:41:19 -> 01:41:25]  La ver respons no es otra cosa que la acción que maximiza la utilidad.
[01:41:25 -> 01:41:34]  Es lo que vemos, lo que tiene que hacer el Kiriti es calcular esa línea para cada acción que está en la diapositiva.
[01:41:34 -> 01:41:45]  Hacer el producto de la distorsión de drogabilidad por lo que corresponda de la línea de recompensas.
[01:41:45 -> 01:41:59]  Pues el update acá ya está hecho, simplemente le dice la casta que es la Land Policy,
[01:41:59 -> 01:42:11]  Lo que hace es calcular la instrucción de promovería dividida por el...
[01:42:11 -> 01:42:18]  O sea, normaliza la instrucción de promovería.
[01:42:18 -> 01:42:21]  O sea, si el count dividido lo suma en los counts.
[01:42:21 -> 01:42:23]  Para cada gente.
[01:42:23 -> 01:42:41]  Y este agente su función Action está pensada para que sea en modo Learn.
[01:42:41 -> 01:42:43]  Este agente funciona en modo Learn.
[01:42:43 -> 01:42:50]  Cuando le piden una acción, lo que va a hacer es hacer el cuáles son los responses del aprendizaje.
[01:42:50 -> 01:42:58]  Si lo quieren jugar solo, directamente el sampler de polis.
[01:42:58 -> 01:43:04]  Si peguen desde una vez que hicieron mil iteraciones, ahora aprendí, aprendió 0.5-0.5,
[01:43:04 -> 01:43:10]  no es interesante, como estamos acá, porque lo que importa es el aprendizaje.
[01:43:10 -> 01:43:17]  Pero si lo quisieran utilizar para jugar después, directamente,
[01:43:17 -> 01:43:27]  Después es un agente random que no juega aleatoriamente por uniformes sino por shoe poros.
[01:43:33 -> 01:43:39]  No, no, de eso que era la más complicada, creo que es hacer un Game of War,
[01:43:39 -> 01:43:48]  y pasamos para todas las preguntas y empezamos a retrogresar el servicio
[01:43:48 -> 01:43:59]  Esto le da un hint, si no conocen ETH de Python, bueno, usenlo, si aprendan, no usenlo
[01:43:59 -> 01:44:01]  que es una buena herramienta
[01:44:01 -> 01:44:07]  Hay un post, pero no está usado.
[01:44:07 -> 01:44:10]  Pero bueno, está por algo, como va a solucionar.
[01:44:13 -> 01:44:17]  Bueno, ahora...
[01:44:17 -> 01:44:19]  Todo sucio.
[01:44:19 -> 01:44:31]  Ahora le vamos a dar el obligatorio que es con la primera parte.
[01:44:31 -> 01:44:35]  Esto que va a dar, después va a dar...
[01:44:35 -> 01:44:40]  Ahora sería hacer el 52play.
[01:44:40 -> 01:44:43]  Si, si, empiece con feature to play y por la próxima vez vamos a intentar el otro
[01:44:43 -> 01:44:47]  pero vamos a ver algunas clases donde solo vamos a trabajar con el...
[01:44:47 -> 01:44:51]  ...
[01:44:51 -> 01:44:53]  Bueno, dejo de grabar
[01:44:53 -> 01:44:57]  ...
[01:44:57 -> 01:45:01]  ...
[01:45:01 -> 01:45:05]  ...
